subject,structure,dice_before,dice_after,delta,voxels_removed,vol_pred_ml,vol_gt_ml
s0517,adrenal_gland_right,0.7901,0.7901,0.0,0,1.24,1.21
s0517,aorta,0.9208,0.9208,0.0,0,196.97,195.38
s0517,autochthon_left,0.9232,0.9232,0.0,0,114.62,119.04
s0517,autochthon_right,0.9267,0.9267,0.0,0,134.48,139.27
s0517,clavicula_left,0.7375,0.7375,0.0,0,8.17,7.8
s0517,clavicula_right,0.8194,0.8194,0.0,0,8.27,8.65
s0517,colon,0.9314,0.9314,0.0,0,29.19,29.49
s0517,esophagus,0.8504,0.8504,0.0,0,34.21,33.07
s0517,humerus_left,0.8798,0.8798,0.0,0,40.53,39.41
s0517,humerus_right,0.9057,0.9057,0.0,0,51.24,51.03
s0517,inferior_vena_cava,0.896,0.896,0.0,0,15.02,15.66
s0517,kidney_left,0.9295,0.9295,0.0,0,11.38,11.37
s0517,liver,0.9733,0.9733,0.0,0,1269.29,1268.4
s0517,portal_vein_and_splenic_vein,0.8785,0.8785,0.0,0,7.26,7.74
s0517,scapula_left,0.712,0.712,0.0,0,70.02,66.4
s0517,scapula_right,0.6751,0.6751,0.0,0,56.62,44.61
s0517,spleen,0.9156,0.9156,0.0,0,94.47,91.04
s0517,stomach,0.9419,0.9419,0.0,0,142.78,145.99
