subject,structure,dice_before,dice_after,delta,voxels_removed,vol_pred_ml,vol_gt_ml
s0012,adrenal_gland_left,0.7854,0.7854,0.0,0,4.21,4.37
s0012,adrenal_gland_right,0.6616,0.6616,0.0,0,2.67,2.64
s0012,aorta,0.8906,0.8906,0.0,0,95.15,101.15
s0012,autochthon_left,0.9499,0.9499,0.0,0,385.61,378.23
s0012,autochthon_right,0.9456,0.9456,0.0,0,368.02,359.25
s0012,colon,0.9296,0.9296,0.0,0,1224.8,1218.08
s0012,duodenum,0.7453,0.7453,0.0,0,1.24,1.25
s0012,esophagus,0.825,0.825,0.0,0,13.58,14.15
s0012,femur_left,0.9123,0.9123,0.0,0,139.74,156.12
s0012,femur_right,0.9129,0.9129,0.0,0,137.61,154.93
s0012,gluteus_maximus_left,0.9609,0.9609,0.0,0,490.68,494.57
s0012,gluteus_maximus_right,0.9562,0.9562,0.0,0,460.05,466.25
s0012,gluteus_medius_left,0.9487,0.9487,0.0,0,241.27,239.41
s0012,gluteus_medius_right,0.9422,0.9422,0.0,0,225.1,227.87
s0012,gluteus_minimus_left,0.9036,0.9036,0.0,0,57.48,58.17
s0012,gluteus_minimus_right,0.9114,0.9114,0.0,0,67.09,66.03
s0012,hip_left,0.9259,0.9259,0.0,0,342.17,343.04
s0012,hip_right,0.9265,0.9265,0.0,0,350.81,348.4
s0012,iliac_artery_left,0.7353,0.7353,0.0,0,10.56,11.76
s0012,iliac_artery_right,0.7598,0.7598,0.0,0,12.18,12.45
s0012,iliac_vena_left,0.8634,0.8634,0.0,0,40.61,39.89
s0012,iliac_vena_right,0.845,0.845,0.0,0,27.24,25.9
s0012,iliopsoas_left,0.9065,0.9065,0.0,0,201.31,200.01
s0012,iliopsoas_right,0.903,0.903,0.0,0,167.29,166.12
s0012,inferior_vena_cava,0.8782,0.8782,0.0,0,81.46,87.4
s0012,kidney_left,0.9362,0.9362,0.0,0,187.11,186.08
s0012,kidney_right,0.9383,0.9383,0.0,0,145.34,146.53
s0012,liver,0.9698,0.9698,0.0,0,2055.51,2094.01
s0012,lung_lower_lobe_left,0.9648,0.9648,0.0,0,716.31,716.74
s0012,lung_lower_lobe_right,0.9682,0.9682,0.0,0,549.94,550.76
s0012,lung_middle_lobe_right,0.9474,0.9474,0.0,0,253.39,255.4
s0012,lung_upper_lobe_left,0.9287,0.9262,-0.0025,400,181.17,176.48
s0012,lung_upper_lobe_right,0.7532,0.7532,0.0,0,4.16,3.25
s0012,pancreas,0.8171,0.8171,0.0,0,20.06,17.65
s0012,portal_vein_and_splenic_vein,0.8092,0.8092,0.0,0,24.33,23.87
s0012,rib_left_10,0.7654,0.7654,0.0,0,13.31,13.3
s0012,rib_left_11,0.7296,0.7296,0.0,0,7.91,7.85
s0012,rib_left_12,0.7118,0.7124,0.0006,8,4.89,4.83
s0012,rib_left_4,0.5047,0.5047,0.0,0,1.13,0.67
s0012,rib_left_5,0.5664,0.527,-0.0394,112,4.0,3.45
s0012,rib_left_6,0.6869,0.6869,0.0,0,7.72,5.7
s0012,rib_left_7,0.7051,0.7051,0.0,0,10.77,10.2
s0012,rib_left_8,0.6533,0.6533,0.0,0,10.5,9.88
s0012,rib_left_9,0.7582,0.7582,0.0,0,14.85,14.93
s0012,rib_right_10,0.7535,0.753,-0.0005,48,12.99,13.21
s0012,rib_right_11,0.7499,0.7499,0.0,0,9.29,9.29
s0012,rib_right_12,0.7043,0.7043,0.0,0,4.54,4.66
s0012,rib_right_4,0.546,0.5468,0.0008,16,1.81,1.34
s0012,rib_right_5,0.6597,0.6452,-0.0146,56,4.64,4.12
s0012,rib_right_6,0.6404,0.6404,0.0,0,8.18,6.27
s0012,rib_right_7,0.7451,0.7451,0.0,0,12.47,11.86
s0012,rib_right_8,0.7341,0.7341,0.0,0,13.28,12.69
s0012,rib_right_9,0.7691,0.7691,0.0,0,16.63,17.01
s0012,sacrum,0.8058,0.8058,0.0,0,238.15,188.64
s0012,scapula_left,0.7764,0.7764,0.0,0,1.67,1.13
s0012,scapula_right,0.8824,0.8824,0.0,0,3.0,2.92
s0012,small_bowel,0.901,0.901,0.0,0,862.87,890.33
s0012,spleen,0.9541,0.9541,0.0,0,167.24,169.14
s0012,stomach,0.9012,0.9012,0.0,0,221.8,215.99
s0012,urinary_bladder,0.9008,0.9008,0.0,0,97.74,94.09
s0012,vertebrae_L1,0.9029,0.9029,0.0,0,51.25,51.48
s0012,vertebrae_L2,0.9063,0.9063,0.0,0,55.7,56.63
s0012,vertebrae_L3,0.8969,0.8969,0.0,0,62.56,62.09
s0012,vertebrae_L4,0.9002,0.9002,0.0,0,63.88,65.58
s0012,vertebrae_L5,0.892,0.892,0.0,0,61.88,64.09
s0012,vertebrae_T10,0.8904,0.8904,0.0,0,37.56,37.9
s0012,vertebrae_T11,0.8948,0.8948,0.0,0,38.39,39.51
s0012,vertebrae_T12,0.904,0.904,0.0,0,42.63,43.46
s0012,vertebrae_T7,0.8333,0.8333,0.0,0,0.35,0.3
s0012,vertebrae_T8,0.8696,0.8696,0.0,0,12.31,11.42
s0012,vertebrae_T9,0.8839,0.8839,0.0,0,33.45,34.23
